member_id,Meetup_1,Meetup_2,Meetup_3,Intro,Photo,Location_munich,last_visited_within_2wb_m2,last_visited_within_1wb_m2,last_visited_within_2wb_m3,last_visited_within_1wb_m3
392,x,x,-,0,1,1,0,0,0,0
393,x,x,RYN,0,1,1,0,0,1,0
394,x,x,-,0,1,0,0,0,1,0
395,-,-,-,0,1,1,1,0,0,0
396,RYN,RYS,RYS,0,1,1,1,1,1,1
397,x,x,RYN,0,1,0,0,0,1,1
398,RYN,-,-,0,1,0,0,0,0,0
399,RYN,-,-,0,1,1,0,0,0,0
400,x,-,-,0,1,1,0,0,0,0
401,x,x,-,0,1,1,0,0,0,0
402,x,x,-,0,1,1,0,0,0,0
403,RYS,RYS,RYS,0,1,1,1,1,0,0
404,-,-,-,0,1,1,0,0,0,0
405,x,-,-,0,1,1,1,0,0,0
406,x,-,-,0,1,1,0,0,0,0
407,x,x,-,0,1,1,0,0,1,1
408,x,RYS,-,0,0,1,1,1,0,0
409,RN,-,-,0,1,1,0,0,0,0
410,RN,RN,-,0,1,1,1,1,1,1
411,-,-,-,0,1,0,0,0,0,0
412,x,x,RYS,0,1,1,0,0,1,1
413,x,x,-,0,1,1,0,0,0,0
414,x,-,-,0,1,1,0,0,0,0
415,-,-,RYS,0,1,1,0,0,1,1
416,RYN,-,-,0,1,1,1,1,0,0
417,x,x,-,0,1,1,0,0,0,0
418,x,x,-,0,1,1,0,0,1,1
419,x,RN,-,0,1,1,1,1,0,0
420,x,RN,RYN,0,1,0,1,1,1,1
421,x,x,-,0,1,1,0,0,1,1
422,x,RN,RN,0,1,1,1,1,1,1
423,x,x,-,0,0,1,1,1,0,0
424,x,RYN,-,0,1,1,0,0,0,0
425,x,x,-,0,1,0,0,0,1,1
426,x,-,-,0,1,1,0,0,0,0
427,x,-,-,0,1,0,0,0,0,0
428,x,x,x,0,1,1,0,0,1,1
429,x,x,-,0,1,1,0,0,0,0
430,RYS,-,-,0,1,1,0,0,0,0
431,x,-,-,0,1,0,0,0,1,1
432,x,x,-,0,1,1,0,0,0,0
433,-,-,-,0,1,1,0,0,0,0
434,x,x,-,0,1,1,0,0,0,0
435,x,RYN,RN,0,1,1,1,1,1,1
436,RYN,-,-,0,0,1,1,0,0,0
437,RYN,-,-,0,1,1,0,0,0,0
438,RYN,RN,RYN,0,1,1,1,1,0,0
439,x,x,RYN,0,1,1,0,0,1,1
440,x,-,-,0,0,1,0,0,0,0
441,-,-,-,0,1,1,0,0,0,0
442,x,-,-,0,0,0,0,0,0,0
443,x,-,-,0,1,1,1,1,0,0
444,x,RN,-,0,1,1,1,1,0,0
445,-,-,-,0,1,0,0,0,0,0
446,x,x,-,0,1,0,0,0,0,0
447,-,-,-,0,1,1,0,0,0,0
448,x,RN,-,0,0,1,1,1,0,0
449,RYN,RN,RYN,0,0,1,1,1,1,1
450,x,RYS,RYS,0,1,1,1,1,1,1
451,-,-,-,0,1,1,0,0,0,0
452,-,-,-,0,1,1,0,0,0,0
453,x,x,-,0,1,1,0,0,0,0
454,x,x,RYS,0,1,1,0,0,1,1
455,x,x,-,0,1,1,0,0,0,0
456,x,RYN,-,0,1,1,1,1,0,0
457,RYS,-,-,0,1,1,0,0,0,0
458,x,RYS,-,0,1,1,1,1,1,1
459,x,x,-,0,0,1,0,0,0,0
460,x,x,-,0,1,1,0,0,0,0
461,-,-,-,0,1,1,0,0,0,0
462,RN,-,-,0,1,1,1,1,0,0
463,x,-,-,0,0,1,1,0,0,0
464,-,-,-,0,1,0,0,0,0,0
465,x,x,RN,0,1,1,0,0,1,1
466,RYN,-,RYN,0,1,1,0,0,1,1
467,-,-,-,0,1,1,0,0,0,0
468,x,x,-,0,0,1,0,0,0,0
469,x,x,-,0,1,1,0,0,1,1
470,RYS,-,-,1,1,1,1,1,0,0
471,RYS,RYS,-,0,1,1,1,1,1,1
472,x,-,-,0,1,1,0,0,0,0
473,x,-,-,0,1,0,0,0,0,0
474,-,RYN,-,0,1,1,1,1,0,0
475,x,-,-,0,1,0,1,0,0,0
476,x,-,-,0,1,1,1,1,0,0
477,-,-,-,0,1,1,0,0,0,0
478,-,-,-,0,1,1,0,0,1,1
479,x,RN,-,0,1,1,1,0,1,1
480,-,-,-,0,1,1,0,0,0,0
481,x,-,-,0,1,0,0,0,0,0
482,x,-,-,0,0,1,1,1,1,1
483,-,-,-,0,1,1,0,0,0,0
484,-,-,-,0,0,1,0,0,0,0
485,x,RYN,-,0,1,1,0,0,0,0
486,RN,-,-,0,1,1,0,0,1,1
487,-,-,-,0,0,1,0,0,0,0
488,RYS,RYN,-,0,1,1,1,1,0,0
489,-,-,-,0,1,1,0,0,0,0
490,-,-,-,0,0,1,0,0,0,0
491,x,-,-,0,1,1,0,0,0,0
492,-,-,-,0,1,1,0,0,0,0
493,x,-,-,0,1,1,1,1,0,0
